a newes,s. nöwis.,
vùrluuse,"(-et): schlecht machen, anschwärzen: dù teetisch gschiider muuse ù suechtisch d Zägge i dyr Wösch, statt ander Lüt z vùrluuse (ms 72); ↑uusflegere.",
vùrmùùrggse,(-et): durch Gewaltanwendung erst recht kaputt machen (Wü2 Üb2 Fr1 He2); SYN: vùrmǜǜrde.,"[auch vermùùrggse (Üb2), vermoorggse (Fr1)]"
vùrpigge,(-et): zerstechen: wenn iim di chiibe Ggluure d Fingere vùrpigget hii (pb Spät146).,
vùrrecke,"(-t): verenden, sterben (derb / wh 172). SYN: stäärbe. ↑vùreckt.",[auch verecke (wh)]
vùrsädere,"(-et): ❶ verschmutzen, von Menschen u. Tieren, mit Flüssigkeit, Exkrementen, etc. (allg.); ↑ sawatte1, schwyne1. ❷ verstreuen (Gu1 Ss1); SYN: vùrggaaggere. ❸ zugrunde richten, kaputt machen (Fr1 Gi1); ↑vùrtäle.",
Vùrschryyber·gäḷd,"(n, kein Pl.): Gebühr für einen Eintrag im Grundbuch: d Mueter ù de Vater hi d Bii abglǜffe ù gsuecht nam Verschrybergäld (pm 64).",
vǜrsi,"(Part.): vorwärts, nach vorne (UL). SYN: vǜretsi.","[auch vǜrschi (Dü1) ◆ neu ◆ Id 7,161]"
Vùrstann,"(m, kein Pl.): Verstand, Geist: ma taarff ging hoffe, d Chinn chämi o iinisch zù Vùrstann (pb Spät154); SYN: Giischt, Hǜrni. ↑ Grǜtz, Schlööwi, Siin.",
vùrstuunet,"(-er, -scht): staunend, überrascht: i ha no nie epper ùf di Moda vùrstuuneti ggsee (pb Verse34); ↑ Männli (mache), (Ùùge mache wy) Stoossbäärerödli, Wùḷche (ùs aḷne ~ kyyt).",
vùrtiile,"(-tǜḷt/-tiḷt): verteilen, a) intrans. anderen geben (allg.); ↑ vùrschutte, vùrtraage. b) trans. ausbreiten: de Mǜscht ga vùrtiile (Wü1); ↑chliine.",
vùrtrǜcke,"(-t): ❶ zerdrücken, zerquetschen (allg.); SYN: vùrmache, vùrmuesle, vùrtonnere. ↑ rapse, stùngge, vùrfùngge, vùrmǜǜrde, vùrschameniere, vùrtrome. ❷ essen (neu / He2 Gi2); SYN: ässe.",
vùrtùùrschte,(-et): verdursten. ▲stäärbe.,
vùrwättere,"(-et): intrans. durch Witterungseinflüsse verändert werden, zB Holz (Fr1 Si2). ↑ggwittere.",
vùrzele,"(-zöḷt): erzählen, sagen (He2); vùrzöu dùù nùme! etwa: erzähle nur, ich glaub dir nicht (Si2); SYN: pratike. ↑rede. • Ra.: vùrzöḷ a ki Mǜscht! (Wü1 We Pl2); ↑kaḷfaktere.","[auch vùrzöle (We2 Si2), verzöle (Wü1 He2), verzele (Pl2)]"
vǜǜrig,"(-er, -scht): a) vorig, restlich (wh 56); i ha di vǜǜrege grad tüür chene lǜfere (vs GuC83); ↑Ùberwärt. b) überflüssig, überzählig (Gu1 Wü1 Pl1 / wh 56); är hiigi daa nüüt z sueche, är sygi vǜǜrega (ar 85); SYN: ùberflǜssig. ↑vǜḷ z vǜḷ.",[auch fǜǜrig (wh)]
wa1,"(Pron.): a) wo? wa isch er gsyy (allg. / wh 170); [i wiis nit], wann er isch (wh 166); SYN: wana. b) welche, -r, -s, relat. Satzanschluss: da wen euwa ander Bueb, wa sîs Gut mitte Huere het dürhi ghebe (Stalder 1819: UL); de Manne, wa da i-n-üser Zitung schribe (Sense 1863).","[auch wo (Gu1 Dü1 Wü1 Fr1 He1 allg2), wan (wh: ""vor Vokalen"")]"
Wääg,"(m, -e): a) Weg (allg. / wh 100, 182); ↑ Gassa, Straas, Trǜǜb. ZSS: Charr~, Chrütz~, Fuess~. b) Viehweglein in den Bergen (sds 6,73: Dü Üb He Ss); SYN: Treeja. • Raa.: de leng Wääg längs, der Länge nach: probier de leng Wääg, näy giit es (Dü1) • z ale Wyys ù Wääge auf jede erdenkliche Art (Fr1 He1 We1 Gi1 Pl1 / wh 180); ↑Wyys. • ùs ùm Wääg gaa ausweichen, fliehen: wier schüühe d Wùndernaase ù gangen ne ùs ùm Wääg (pb Spät122); ↑atflye.",[Dim. Wäägli ]
waagle,"(gg-et): ❶ schaukeln, a) auf Stuhl (intrans. / Ta1 He1); SYN: gygampfe. b) Kind im Kinderwagen (trans. / He1); ↑wäägele. ❷ torkeln, schwankend gehen (Ss1); ↑zwaḷble.",[zu Waagli ]
Waaḷ·schatte,"(m, -ä-): Schatten, Dunkelheit des Waldes, auch Waldrand: bys Schwannboden usi giit er dr Straas na, nahi de Seisa na im Waalschatte (pm 59).",
wääre2,"(gg-t): währen, dauern (wh 49, 103 212). SYN: tuure.",
waarschyndli,(Part.): wahrscheinlich (neu / wh 176). SYN: aḷwääg.,
Wachouderböri, s. Wachhoḷterböri.,
Wädele·schraage,"(m, -ää-): Gestell zum Binden von Reisigbündeln (sds 8,156: Fr Pl); SYN: Wädelebock.",[Dim. Wädeleschräägli (sds: Pl)]
wäge·wessi?,"(Pron.): weswegen, warum? (wh 46, 177, 201). SYN: westwäge.",
Wäärschaft,"(f, -e): Bürge, Bürgschaft: i dr Gaschtstùba wǜrd ghännlet - z allwääge mit ù oni Wäärschaft (pm 21); SYN: Bǜrgschaft, Bǜǜrg.","[schwzdt Wärschaft 'Gewähr, Bürgschaft' (Wahrig) ◆ fehlt in Ma-Wbb]"
Wachhoḷter·böri,"(n, -eni): Wacholderbeere (Gu UL Fr Ta He Gi1 Re1 Pl1 OL2; sds 6,149: Gu); SYN: Dräckhoḷterböri.","[auch Wachouderböri (Dü Wü Fr2 Ta Si2 Ss2), Wachhouderböri (Gi2 Re)]"
wädele,"(gg-et): ❶ Reiswellen anfertigen (Gu1 UL Fr1 ML OL2); är hät by de Puuren ùmma gmuuset ù gwädelet (fa Religion); SYN: gäärble. ❷ stürzen, fallen: ou, denn hets mi gruusig gwädelet (Ss2); SYN: flädere. ZSS: ùber~, vùr~.","[auch wedele (Gu1 Üb1 Fr1) ◆ Id 15,464: 1. nur BE, FR]"
wäge·myne,(Part.): meinetwegen (Gu2 Dü Wü2 Fr2 Ta He1 Re1 Pl1 OL2 / wh 196); SYN: miera.,
Wärchmaa,"(m, -mane): Arbeiter, Knecht: wie menga Werchma si i mîm Atts Huus, die vil z'vil Brod z'esse hei (Stalder 1819: UL); vgl. Anhang 1.",[auch Werchmaa (Stalder)]
Wariit, s. Warhiit.,
Wäsch·bäära,"(f, -e): Gestell zum Waschen im Brunnentrog, mit Leisten u. vier Beinen (Üb1 He1); ↑ Wäsch, Zǜber.",[auch Wöschbäära (Üb1 He1) ◆ Wort u. Ding prakt. †]
waschle,"(gg-et): ❶ a) watscheln, schwanken (We1 OL1); ↑zwaḷble. b) herumtollen (Dü1); SYN: zylendere. ❷ zu schnell, oberflächlich arbeiten (Gi1 / wh 74, 144); SYN: schǜble. ❸ klatschen, tratschen (Baeriswyl); de Tschängl, dä het va nüt lieber gwaschlet, weder va de «alte Remena» (pb Verse31); SYN: chüechle.","[veraltet ◆ wohl lautmalend; kaum zu schwzdt wäsche (gegen Stalder, dwb) ◆ Stalder: 'dummes Zeug schwatzen']"
Wäse,"(n, unveränd.): ❶ Wesen, Aufwand (wh 44); groosses Wäse mache (pk); ZSS: Choch~. ❷ gr., schöne, wichtige Sache: dr Miggel het ne gsiit, as wee as Wäse, we mù a Chöchi hetti (pm 82).",
Wässer·matta,"(f, -e): bewässerte Wiese (pk).","[Id 4,551]"
Wätter,"(n, unveränd.): a) Wetter (wh 104, 186); schöe Wätter (wh 192); U-BEGRIFFE: Chöḷti, Giecht, Ggùgger2, Ggwitter, Hitz, Lùft, Näbḷ, Rään, Rüüchi, Schnee, Sùna, Wùḷcha. ZSS: Byse~, Hùdḷ~, Rùmpḷ~, Schloderi~. b) Unwetter: aber as mau (...) hät es as ganz as liids Wätter ggä (fa Religion); ↑Ùwätter.","[auch Wääter (wh 104: ""alte Frauen im OL"")]"
Wätterwann,"(f, -e-/-ä-): dem Wetter ausgesetzte Aussenwand (Anderegg 1,259).",
Wee,"(n, Wee-e): ❶ a) Schmerz (allg.); a ki Müedi mee vam Wärhe, a ki Chùmer, ki Ùmuess mee, niena Wee (pb Isi45); ▲Gspǜri, ▲Lyyb. SYN: Bobooli, Lyde, Päärzeta, Schmäärze. U-BEGRIFFE: Chrankiit, Vùrletzùng. ZSS: Buuch~, Chopf~, Haḷs~, Hiim~, Maage~, Mäschḷ~, Oore~, Ùùge~, Zenn~. b) (meist Pl.) Geburtswehen (Üb1 Fr1 He Re1 Pl Ss1); ZSS: Chaḷber~. ❷ Epilepsie, Fallsucht (allg1 / wh 59); är sol as Wee haa, ù sygi zytewys böes z p'haa (pb Verse35); ▲Chrankiit. ↑ Aafaḷ, Choḷder. • Raa.: falig Weë (wh 76, 146); falends Wee Epilepsie (Fr1) • epperùm Wee tue a) intrans. jmdm. Schmerzen bereiten: nie di gringschti Anerchennùng, das het era hörter wee taa weder Schleeg (pb Spät127); b) refl. sich verletzen: tue di no Wee! (We1) / tue der no Wee! (Ta1); ↑ blessiere, Bobooli (mache), giechte.","[mhd wê 'weh; Schmerz' (Grenze zu Adv. u. Interj. nicht immer zu erkennen) ◆ Id 15,37]"
Weermi,"(f, kein Pl.): Wärme (wh 42, 75). ANT: Chöḷti. ↑Hitz.",
weli?,(Pron.): welche? Nom. od. Akk. Sg. fem.: weli het daas gsiit? (Ss1); vgl. Anhang 2.,[auch wöli (Üb Ta We2 Gi Re1 Pl1)]
welùm?,"(Pron.): welchem? Dat. Sg. mask. od. neutr.: i wiis nit, va wölùm Moudi ass si uufgnoo het (Ta2); vgl. Anhang 2.",[auch wölùm (Ta2)]
wenn2, s. we.,
Wetz·stii,"(m, -ne): Wetzstein zum Schärfen der Sense (We1 / wh 130, 172); SYN: Schlüüfstii. ↑ Sägessa, Stifass.",
wider·schee,"(isch -schee): widerfahren: dasch epis vam Liidschte, wa iim cha widerschee (pb Spät 110); SYN: gschee.",
Wiggla,"(f, -e): ❶ a) Kauz, Wald-, Steinkauz (Gu1 Dü1 He1 We1 Ss1; sds 6,253 / wh 155); ▲Vogḷ. SYN: Chutz. ↑Tootevogḷ. b) Eule, Uhu (Ta1); ↑Hùùri. ❷ Schreckgestalt mit der man Kinder warnt (He1); ↑Hutätä.","[bald † ◆ ahd wiggila 'Kauz, Eule, Uhu' ◆ 1.b) Einzelbeleg ◆ Id 15,1022]"
Wiismuetena, s. Wyymuet.,
Windḷ·nööjer,"(m, -e/unveränd.): Bohrwinde (sds 8, 160: Üb). SYN: Windḷboorer.",
wintsch,"(-er, -escht): ❶ schräg, windschief (Fr1); ↑zwäärisch. ❷ dünn, abgemagert (Wü1 Üb1 Ta1 Re1); ↑pring. ❸ schwach, elend, zB vor Hunger (Gu1 Dü1 Wü1 Fr1 ML1 Si1 Pl1 Ss1); nai het er mit amena stùùrne Hübù, wintscha, mit gamege Chnöw müesse ga Chrutt meeije (pb Isi62); ↑ leer, schwyttig.","[auch wǜntsch (Dü1 Wü1 Fr1 Ta1 Re1) ◆ veraltet ◆ Adj.-Ableitung auf -isch zur Sippe von mhd winden 'biegen, drehen, wenden'; vgl. dänisch, schwedisch vind 'schief' (dwb); hochdt windschief, windschaffen sind wohl spätere Verdeutlichungen ◆ Stalder: BE, LU; SI-Wb; UR-Wb; BE-Wb]"
wo1, s. wa1.,
Wole·baḷ,"(n, kein Pl.): Volleyball, Sportart. ↑ Bassgettbaḷ, Handbaḷ.",
Wölo, s. Wölù.,
Wööli, s. Weeli.,
Woorb·gabla,"(f, -e): Holzgabel zum Verzetten von Heumaden (Wü1). ↑Äärnt.",
wùa, s. wùha.,
wueschte,"(gg-et): husten (wh 156); SYN: ggöuere, hueschte, kǜckere.","[germ *hwôstôn 'Husten; husten', dabei hat sich im Aleman der w-Anlaut, im übrigen Dt h-Anlaut durchgesetzt: ahd huosto, mhd huoste; in FR lange nur w- (s. sds), heute mit hochdt Einfluss fast nur noch h- (hueschte) ◆ Stalder; ZH-Wb]"
Wùḷche·gheich,"(n, unveränd.): Wolkengehänge, dichte Wolken: dùrn a blaua Schranz im Wùlchegheich isch [d Sùna] nùme flingg cho Ggruggis mache (pb Spät66).",
Wùlesöyli,"(n, -eni): ❶ Wollschwein. ❷ Schaf (humor. / We2); SYN: Schaaf.",
wùndere,"(sich gg-et): a) sich wundern, sich fragen (refl.); as het si gwùnderet, wy dr Miggel z Schlag chämi (pm 82); b) neugierig sein, interessiert nachfragen (intrans.); är hep mersch fǜǜr ù pfǜǜr va sälber arzölt, oni ass ii ha müesse wùndere (pb Spät139); ↑Wùnder (nää).",
Wùle·chaarta,"(f, -e): Kardätsche, Wollenkarde, zwei mit Drahtzacken dicht besetzte Bretter zum Rupfen (Karden) der Wolle (wh 131, 189); ↑ Chaartebock, Strigḷ.","[auch Wùlechaarte, m (wh) ◆ † ◆ mhd karte 'Kardendistel; Werkzeug der Tuchmacher'; zu ital carda, lat cardus 'Distel' ◆ Id 3,491 nur: Chaarte, Vieh-, Stall-, Bauele-, doch nicht Wùlechaarte ]"
Wùnd·chlee,"(m, kein Pl.): Wundklee, Schmetterlingsblütler: Krokus ù Zytröesleni, Schnùderhengeleni, Tubechröpf, Wùndchlee ù Haanefuess (pb Spät68); ▲Meie.",
wǜntsche,"(gg-t/ggwùntsche): wünschen (wh 97, 177); da het er gwuntsche, sî Hunger mit Schwînebohne gstille (Stalder 1819: UL); ↑ gglùschte, bigääre.","[auch wǜǜsche (wh: ""†""), wǜnsche (wh: ""neu"") ◆ zur Lautung s. Anhang 3.15]"
Wǜrtschaft,"(f, -e): Wirtshaus, Restaurant (allg. / wh 188). SYN: Pǜnta.",
Wuur·achs, s. Wuerachs.,
wùùrscht,"(Part.): egal, Ausruf der Gleichgültigkeit: dasch mier doch wùùrscht (Re1); hùndewùùrscht (Ta1); ↑miera.",
wüvḷ?,"(Pron.): a) wie viel? (allg.); wyvǜll hescht dù gminnt [fùr Loon]? (pm 21); ↑wy menga. vgl. Anhang 2. b) wie viel, sehr viel: we vel Täglöhner se doch e mym Atts Huus, de oberflösseg z'ässe hee (Stalder 1819: OL).","[auch wyvel (Stalder), wüvùu (Gi)]"
wy,liecht: s. wy·licht.,
wyl,"(Part.): ❶ weil, wegen: han i ùf d Chnöuw müesse, wül ass es mi ging het wele schmiitze (PB Spät109); vam Toni isch schi [d Chatz] gflue, wyl as er schi ging i Schwanz gchlemmt hät (fa Chatz); SYN: vawäge, wäge. ❷ während: är hät bstenig trappet, wyl as er syni Bala Lätt vǜra gchrauet hät (fa Chatz); as isch o vorchoe, dass wǜlùm z Nüüninää d Läbera fort cho isch (pm 29); SYN: wylet.","[auch wül (pb), wǜlùm (pm)]"
wysitiere,"(g-t): ❶ von Amts wegen besuchen, zB Arzt, Bischof (Gi1 Ss1); SYN: fisediere. ↑ chǜḷte, psueche, Wysytta (mache). ❷ besichtigen, untersuchen (Wü1 Ta1 Pl1 / wh 144); am Sùnntig drùf isch er ùmmi ga der Blätz wysitiere (Kolly 48).","[auch wysidiere (Ta1 Gi1 Ss1), wisidiere (wh) ◆ lat visitare 'besuchen']"
Wysytta,"(f, -e): nur in • Ra.: Wysytte mache (He1 We1 Ss1) / z Wysytte gaa (Ss1) / z Visite syy jmdn. besuchen: wa si zùr Madam Ana z Visite gsy isch (pb Verse33); ↑wysitiere.",[auch Visita (pb) ◆ frz visite 'Besuch']
Wyy·bäärg,"(m, -e): Weinberg (sds 8,201: Dü Wü Gi Pl). SYN: Räblann.","[Id 4,1561]"
Wyyer,"(m, -e): Weiher (wh 161, 183); ▲Wasser. SYN: Lächa, Teich. ↑ Gglùnte, See.","[mhd wiwære, wîære 'Weiher' ◆ Id 15,63]"
wyyroot,"(-rööter, -röötescht): weinrot (allg.).",
ya, s. yha.,
Yfart·chäller,"(m, -e): Keller unter der Hocheinfahrt zur Scheune: är het ds grooss Buuchbǜchti vam Yfartchällerli usatröölt (pm 27).",
Yngweer,"(n, unveränd.): südasiatische Pflanze mit Wurzel, die als Gewürz verwendet wird (Ta2); ▲Ggwǜǜrz, ▲Wǜǜrza.",
Ysewegge,"(m, unveränd.): Eisenkeil, bes. zum Holzspalten (Dü1 Wü1).",
yychoo, s. yhachoo.,
 yygneejt,"(-er, -escht): verschlossen, in sich gekehrt: är isch a yygneita Mensch gsy (Volkskalender 1996,61).",
yykye,"(-kyyt): hineinstürzen; reinfallen, räuml. od. übertr. (wh 168); wan er ggmöerkt het, ass ds Zyli ùf dää yhikyyt ù d Sach äärscht isch (pb Isi57).","[auch yhikye (pb), yyghyye (wh) ◆ Id 3,1110]"
Yymach·glaas,"(n, -gleser/unveränd.): Einmachglas (Gu2 Wü1 Fr2 Ta2 Si1); ▲Gfääs. ↑Ggomfitüürglaas.",
yyrgend·wo,(Part.): irgendwo (neu / Gu2 UL2 Fr He2 Re2 Pl2). SYN: newe.,
yyscheihe, s. yyscheiche.,
yysig, s. yyschig.,
yywenig,"(Part.): innerhalb, drinnen (wh 75, 111); asoe isch äär ùssefǜǜr ù yywenig vola Stùùb gsyy (pb Spät98); SYN: dine.",
Zaagga, s. Zaaggi.,
Zäänt,"(m, -e): mittelalterliche Steuer, Abgabe des zehnten Teils. SYN: Tääḷ.","[† ◆ mhd zëhente, zênde 'zehnter Teil als Abgabe' ◆ Stalder]"
zäge·hägi,"(Part.): ❶ Ausruf des Erstaunens, des Hohns, des Trotzes (Gu1 Üb1 Re1 / wh 158); potz zägehägi (Üb1); zägehegi, i glùùbe, di hassegschte Zwärge sygi nit da wùhi ùf de Bärge (pb Spät70); zägehägi, gebe-n-i mis Bitzli Gält fr z' verchegle (Sense 1863); weder zägehägi! (wh 37); SYN: hegihegi. ↑wooḷmääḷ. ❷ beinahe, nahe dran: z'äge hägi hetti di Stündeler u di Tüsseler, wa ging nume d'Achsle glüpft hi druber, öppis a so zwäg bracht (FN 13.6.1908); SYN: baḷd, fasch, faschgaar, schier, velig. ↑ Haar (bim ena). • Raa.: (ds) zägehägi gää im Kampf überlegen sein (Dü1 Üb1 ML1 Gi1); däm chätzersschießige Pfarripräsidänt wott i grad zägehägi gä (vs 1913,36) • wy zägehägi gaa/wärche: schnell, eilig, beim Gehen, Arbeiten, etc. (Wü1 Fr1 Ta1 We1 Si1 Pl1 Ss1); ↑vǜretsi.","[auch zägehegi (pb) ◆ veraltend ◆ Reimformel seit dem 16. Jh. belegt; Erklärungen zahlreich und unsicher ◆ Id 2,1079: nur BE-OL, Schwb., Rigg., FR]"
zäme·faare,"(-gfaare): erschrecken, sich ducken (wh 104). SYN: archlǜpfe.",[Erstbetonung anders als in der Bed. 'gemeinsam fahren']
zäme·sammle,"(-gsammlet): einsammeln: na mena par Tage sammlet der Jüngera alls zäme (Stalder 1819: UL). SYN: ramisiere, zämeramisiere. U-BEGRIFFE: berene, chööle, chriisne, chrüttere, haarze, schwǜmmle, wùùrme, etc.",
zamt, s. zant.,
Zapfe,"(m, -ä-): ❶ Zapfen (allg. / wh 182); SYN: Tùssḷ. ❷ Zapfengeschmack des Weins (allg.); chǜschtige, gob er Zapfe het (Ss1); ❸ Euterzitze (Gi2); SYN: Tile. ❹ (nur in Zss.) Tannenzapfen. ZSS: Tääle~, Tann~.  Lohn (derb / neu / We2); SYN: Loon1.",[Dim. Zäpfli ]
Zeeje·naagḷ,"(m, -le): Zehennagel. ↑Zehe.",
Zesihaag,"(m, -ää-): Hecke aus Thuja (Gu1); SYN: Tujahaag. ↑Zesibùùm.",
Ziebendli, s. Zyebennli.,
Ziiche,"(n, unveränd.): Zeichen, Hinweis (allg. / wh 186); tüet ggùgge, wen ii as Zihe gǜbe (Pl1); SYN: Fingerziig, Typp. ↑Fùngg (a ds Schinnbii). ZSS: Chrütz~, Hǜmḷs~, Toote~. • Ra.: Ziiche lütte vorläuten vor dem Gottesdienst (sds 5,56: Gu Dü We Pl); ↑voorlütte.","[auch Ziche (Pl Ss2), Zihe (Pl1 Ss1), Ziihe (wh), Zeiche (Gu) ◆ vgl. Karte rechts]"
zile, s. ziile.,
Zinahooy,"(n, kein Pl.): Fangspiel, bei dem man nicht gefangen werden darf, wenn man vom Boden weg ist: bi Ggruggis, Zinahoi ù Zinatokter sy d Buebe ù d Miitleni ùnderenand gsy (aj Rollimoos34); SYN: Hooytschǜggi.",
Zitze,"(m, unveränd.): Zitze (neu / Gu2 Dü2 Ta2 Re2 Si2 Ss2). SYN: Tile.",
Znüüni·chöörbli,"(n, -eni): Verpflegungskorb (Üb1).",
zrùgg,"(Part.): zurück, a) gegen hinten, rückwärts, zum Ausgangspunkt (Dü1 Üb1 He2 Pl2 Ss / wh 55, 134); wyn as Bysewätter bin i zrùgg gsprùnge (Aeby 24); ma tuets ifach zrùgg nach jedùm Brann (Haas: Pl); SYN: hindertsi. b) vergangen, zeitl.: scho a Blätz zrùgg eine Weile her (Üb1 Re2); c) reduziert, eingeschränkt: ùf daas hii isch mù fùr Frǜden ù Ruu zrùgg ùf na Zäächner [jeda Aabe] (pb Isi20).","[mhd ze-rucke 'auf den Rücken, hinter sich' ◆ Id 6,790]"
zù,"(Part.): im allg. wie hochdt zu (wh 109, 134); zù/zùn iim (wh 134); zù/zùn üüs (wh 134); zù/zùn enandere (wh 134); SYN: z, zue. ↑zùm.",
Zǜbele·sùppa,"(f, -e): Zwiebelsuppe (Ta1).",
Zùcker·ùùssi,"(n, -eni): Mehrweg-Papiertüte für Zucker (Pl1). ▲Gfääs.",[Wort u. Ding prakt. †]
zueschlaa,"(-gschlaage): zuschlagen, mit Knall schliessen (Gu1 Wü1 Üb1 Ta1 We2 Re2 Si Pl2 Ss2).",
züge,"(-et): Zeugnis ablegen (wh 66, 106).",
Zǜgleta,"(f, -e): a) Umzug (wh 125); b) Umzugswagen (wh 125); SYN: Zǜgḷchare. c) Gesamtheit aller Umzugsgegenstände (Wü1); SYN: Troppe. ↑Bùrreta.",[zu zǜgle; zu -eta s. Schlegleta ]
Zǜmerma,"(m, -mane): ❶ Zimmermann (allg. / wh 91); ▲Pruef. ❷ Weberknecht (Ss2); SYN: Schnyder.","[auch Zimerma (wh), Zǜmmermaa (Ss2)]"
Zùnga,"(f, -e): ❶ Zunge, a) von Menschen (allg. / wh 116, 189); ▲Muuḷ. SYN: Läcka. b) vom Tier, zB als Nahrungsmittel (allg.); Zùnga, Sùssyssong ù Puurewùùrscht (Haas: He); ▲Fliisch. ❷ Sprache (übertr.); i bǜn i ds Magasyn ggange ù ha müesse d Zùnga cheere französisch sprechen (pb S-6); ❸ Lasche unter den Schnürsenkeln des Schuhs (Ta1); ▲Schue.",
Zùùg,"(m, -ǜǜ-): ❶ das Ziehen, Zug, zB vom Wind, Rücken eines Spielsteins, Atmen, Trinken (allg. / wh 100, 181); dù bǜsch am Zùùg an der Reihe (Dü1); dä het a wäḷts Zùùg trinkt schnell (We2); ↑Lùft. ZSS: Aa~, Dǜǜr~. ❷ Vorrichtung zum Ziehen, Spannen, Zusammenhalten. ZSS: Ùber~, Ùnder~, Uuf~. ❸ Eisenbahn, Lastzug, Gespann (allg. / wh 100, 181); ↑Waage.",
zùy·ggùmpe,"(-ggùmpet): herrennen, dazustossen (Gi2 Pl2 Ss1). SYN: zùyspringe.",[auch zùhaggùmpe (Ss1)]
zwääg·richte,"(-ggrichtet): vorbereiten, bereitstellen (Fr1). SYN: kane.",[auch zwäggrichte (Fr1)]
Zwätschge·mues,"(n, kein Pl.): Zwetschgenmus: a däm Abe hät es öppis z Nacht gä, wa de Seppili ùnnerchannt gär ggässe hät: Polenta ù Zwätschgemues (fa Chatz).",
zweit·chäḷbrig,"(k. Steig.): von der Kuh, die zum zweiten Mal gekalbt hat: we si zweitchälbergi gsy isch (...) isch si d Liitchue choe (pm 75); ↑chaḷbere.","[Id 3,225: -chälbrig 'abhängiger Wortteil zur Bezeichnung, dass eine Kuh gekalbt hat']"
Zwihela, s. Zweela.,
Zwöḷferli,"(n, -eni): Sehnenscheiden-Entzündung bei Pferden: ds Ross het ds Zwöḷferli (pb S-7); ↑Ross.","[Stalder nur: Zwiefle, Zwîfle, f 'Krampf, Kolik bei Pferden']"
zwùngener·wyys,(Part.): gezwungenermassen: si weli niemer zwùngenerwyys (pb Spät152).,
zwǜǜfach,"(Part.): zweifach, doppelt (wh 195). SYN: topplet.",
zwye,"(-et): veredeln, zweien von Obstbäumen (He1 Wü1 / wh 60).","[auch zwyye (wh) ◆ zur Lautung s. Anhang 3.6 ◆ auch von Apfelsorten (BzH 1933,37)]"
zybysle,"(-et): ❶ Schlittschuh laufen (Dü1 Wü1 Ta1 We1 Gi2 Re1 Si1 Pl2 / sds 5,102: Ta We); SYN: patiniere, schlööfle, schlyyfschuene, zybe. ↑(Zybyse/Schlyyfschue/Zybschue) faare. ❷ rutschen, mit Schuhen auf dem Eis gleiten (übertr. / Ta We2 Gi2); SYN: zybe.","[auch zybyse (sds: Fr), zybysne (Re1 Si1 Pl2 ""früher"")]"
Zylinder,"(m, unveränd./-e): Zylinder, a) Zylinderhut (Dü2 Wü1 He We1 Ss2); ▲Huet. b) Kreissäge (Fr1 / wh 48); ▲Saaga. c) geometr. Figur; d) Teil an technischen Objekten, zB Motoren, Schlössern. ","[auch Zylender (We1 / wh), Zilinder (Wü1), Zylynder (Dü2 Ss2)]"
zyt·naa,"(Part.): seither: zytnaa het är mee ùp mee gstǜlleret (ar 102); si rüemen is mǜnder ù schüühen is hörter zytnaa (pb Spät74); SYN: zytter, zytterhäär.","[aus *sid nâch 'seitdem'; z- statt s- ev. aus vorgesetztem z 'zu' (wie in zeersch) od. aus dem Artikel d (wie de◆naa) (Id 2,1564) ◆ Id 4,638: sytnaa (Simm.)]"
zyttewyys,"(Part.): zeitweise, manchmal (wh 180); SYN: aḷbeniinisch. ↑maanetewyys.",
Zyyschtig,"(m, -e): Dienstag (sds 6,9 / wh 111, 161). ↑Wùcha.","[mhd zîs-tac 'Tag des Gottes Ziu' ◆ Id 12,1062]"
abschlüüffe,"(-gschlǜffe): ab-, wegschleifen: [d Mùndart chùnt] by de Jùnge ù by dene, wa ùsswärts müesse ga wärhe, z erscht apggschlǜffni (pb Spät170).",[auch apschlyyffe (pb)]
abtraage,"(het abtraage): ❶ abtragen, a) Erde fortschaffen (allg.); b) Schulden abzahlen (Üb2); ↑viertle. c) Kleider, Schuhe durch Tragen abnutzen. ❷ bewirken, nützen, a) finanziell (allg1); das Gschäft het nüüt abtraage (Gu1 Wü1 Pl1); b) gesundheitlich: wa nit asmaal de Härdöpfeler epis het megen aptraage (pb Spät93); SYN: guete. c) von Plänen und Ideen (Dü1 Üb1 We1 Si1); SYN: nǜtze, usachoo, uusgää. ↑Wärt (dr ~ syy).","[veraltend ◆ von konkreter Bed.1.a) 'durch Abtragen eben machen' auf Bed.2 übertr. ◆ Id 14,478]"
Abwäsch·tüechli,"(n, -eni): Tuch zum Abtrocknen des Geschirrs: wa hesch dù (...) d Abwäschtüechleni ù d Abwäschlǜmpe (pm 80).",
Achsla,"(f, -e): Schulter (Dü2 Üb1 Ss1 / wh 127, 149); ▲Aarm. SYN: Schùltera. ↑ Schlǜssḷbii, Uechs.",
Acker~, s. Acher~.,
afange,"(Part.): ❶ bereits, einstweilen, endlich (Gu Dü1 UL2 Fr1 ML2 Re1 Ss2; sds 6,28: Gu Dü Fr); SYN: afe. ❷ erst, zunächst: eersch afange (Dü2).","[auch afangs (Fr1 Ta2 Gi2 Si2), afanges (Fr2) ◆ Id 1,718]"
